market,status,ldate,litho,rprice,ncore,bfreq,tdp,temp
Desktop,End of Interactive Support,,,,1,0.4,24.3,80
Desktop,End of Interactive Support,,,,1,0.266,16.8,65
Mobile,End of Interactive Support,,,,1,0.266,10.3,
Desktop,End of Interactive Support,2011.5,32,,2,2.8,73,72.6
Mobile,End of Interactive Support,2008.75,65,,2,2.16,35,100
Desktop,End of Interactive Support,2008,45,72,2,2.6,65,74.1
Mobile,End of Interactive Support,2007.25,65,,2,1.73,31,100
Desktop,End of Interactive Support,2006.5,65,,2,1.8,65,73.3
Desktop,End of Interactive Support,2006,65,999,2,3.73,130,68.6
Mobile,End of Interactive Support,,130,,1,1.7,24.5,100
Desktop,End of Interactive Support,,130,,1,1.13,29.1,69
Desktop,End of Interactive Support,,180,,1,1.1,33,77
Desktop,End of Interactive Support,2006,65,,2,2.8,95,63.4
Desktop,End of Interactive Support,2005.25,90,74,2,2.8,95,64.1
Desktop,End of Interactive Support,,130,,1,2.6,69,75
Desktop,End of Interactive Support,2004.75,90,,1,3.73,115,70.8
Desktop,End of Interactive Support,,130,,1,3.4,102.9,67
Desktop,End of Interactive Support,2006,65,,1,3,86,69.2
Desktop,End of Interactive Support,2004.25,90,,1,2.8,84,67.7
Desktop,End of Interactive Support,2005,90,,1,2.66,84,67.7
Desktop,End of Interactive Support,,90,,1,2.4,89,69.1
Desktop,End of Interactive Support,,180,,1,1.4,54.7,72
Mobile,End of Interactive Support,,180,,1,0.45,15.5,100
Mobile,End of Interactive Support,,130,,1,1.06,21,100
Mobile,End of Interactive Support,,90,,1,3.06,88,75
Mobile,Launched,2012.5,32,,2,1.6,17,100
Mobile,End of Interactive Support,,,,1,1.06,21,100
Mobile,End of Interactive Support,,,,1,0.233,9,
Desktop,End of Interactive Support,,,,1,0.133,,
Desktop,End of Interactive Support,,,,1,0.12,,
Desktop,End of Interactive Support,,,,1,0.1,,
Desktop,End of Interactive Support,,,,1,0.166,35,85
Desktop,End of Interactive Support,,,,1,0.15,31.7,85
Desktop,End of Interactive Support,,,,1,0.35,21.5,80
Desktop,End of Interactive Support,,,,1,0.233,34.8,75
Mobile,End of Interactive Support,2010.25,32,,2,1.2,18,105
Mobile,End of Interactive Support,2010.25,32,,2,1.86,35,90
Desktop,End of Interactive Support,2009.25,45,77,2,2.8,65,74.1
Mobile,End of Interactive Support,2009,45,,2,2,35,105
Desktop,End of Interactive Support,2008.5,45,72,2,2.5,65,74.1
Mobile,End of Interactive Support,,65,,2,2,35,100
Desktop,End of Interactive Support,,130,,1,3,81.9,70
Desktop,End of Interactive Support,2007.25,65,,2,1.6,65,73.3
Mobile,End of Interactive Support,2007,65,,2,1.6,31,100
Desktop,End of Interactive Support,2006,65,999,2,3.46,130,68.6
Desktop,End of Interactive Support,2005.25,90,,2,3.2,130,69.8
Mobile,End of Interactive Support,,130,,1,1.5,24.5,100
Desktop,End of Interactive Support,2000,180,,1,1,29,75
Desktop,End of Interactive Support,2000,180,,1,1,29,75
Desktop,End of Interactive Support,2006.5,65,74,2,2.8,95,63.4
Desktop,End of Interactive Support,2005,90,93,2,2.66,95,64.1
Desktop,End of Interactive Support,,130,,1,3.06,81.8,69
Desktop,End of Interactive Support,,130,,1,2.4,66.2,74
Desktop,End of Interactive Support,2004.75,130,,1,3.46,110.7,66
Desktop,End of Interactive Support,,130,,1,3.2,92.1,64
Desktop,End of Interactive Support,2005.75,90,,1,3,84,66.6
Desktop,End of Interactive Support,,90,,1,2.8,84,67.7
Desktop,End of Interactive Support,2005.5,90,,1,2.93,84,67.7
Desktop,End of Interactive Support,,90,,1,2.66,84,67.7
Desktop,End of Interactive Support,,130,,1,2.26,58,70
Desktop,End of Interactive Support,,180,,1,1.3,51.6,70
Mobile,End of Interactive Support,,180,,1,1,34,100
Mobile,End of Interactive Support,,130,,1,1,20.5,100
Mobile,End of Interactive Support,,130,,1,2.4,59.8,71
Desktop,Launched,2013,22,42,2,2.3,35,
Desktop,Launched,2013,22,42,2,2.7,55,
Desktop,Launched,2013.5,22,42,2,2.4,35,
Desktop,Launched,2014,22,42,2,2.7,53,72
Desktop,End of Life,2013.5,22,52,2,2.8,55,
Desktop,End of Life,2014,22,42,2,2.4,35,66.4
Embedded,Launched,2014,22,42,2,2.2,35,
Desktop,End of Life,2014,22,52,2,2.8,53,72
Desktop,End of Life,2014.25,22,42,2,2.8,53,72
Desktop,End of Life,2014.25,22,42,2,2.5,35,66.4
Desktop,End of Life,2014.25,22,52,2,2.9,53,72
Desktop,Launched,2015.75,14,42,2,2.8,51,
Desktop,Launched,2015.75,14,,2,2.6,35,
Embedded,Launched,2016,14,107,2,2.4,35,100
Embedded,Launched,2015.75,14,42,2,2.3,35,
Desktop,Launched,2015.75,14,52,2,2.9,51,
Embedded,Launched,2016,14,107,2,1.6,25,100
Desktop,Launched,2017,14,42,2,2.9,51,100
Desktop,Launched,2017.25,,42,2,2.9,54,100
Desktop,Launched,2017,14,42,2,2.7,35,92
Desktop,Launched,2017.25,,42,2,2.7,35,88
Desktop,Launched,2017,14,52,2,3,51,100
Desktop,Launched,2013.75,22,72,2,2.41,10,105
Desktop,Launched,2013.75,22,82,4,2,10,105
Desktop,Launched,2013.5,22,,4,2,10,100
Desktop,Launched,2016,14,107,2,1.6,6,90
Desktop,Launched,2016,14,,4,1.6,6,90
Desktop,Launched,2016.5,14,107,2,2,10,105
Desktop,Launched,2016.5,14,107,4,1.5,10,105
Mobile,Launched,2013.75,22,107,2,1.6,4.5,105
Mobile,Launched,2014,22,107,2,1.58,4.3,105
Mobile,Launched,2014.5,22,107,2,1.58,4.5,100
Mobile,Launched,2013.5,22,,2,2,7.5,100
Mobile,Launched,2013.75,22,,2,1.86,7.5,105
Mobile,Launched,2013.75,22,,2,2.13,7.5,105
Mobile,Launched,2014,22,107,2,2.16,7.5,100
Mobile,Launched,2014.5,22,107,2,2.16,7.5,100
Mobile,Launched,2013.5,22,,4,1.6,7.5,100
Mobile,End of Life,2013.75,22,,4,1.86,7.5,105
Mobile,Launched,2014,22,107,4,1.83,7.5,100
Mobile,Launched,2014.5,22,107,4,1.83,7.5,100
Mobile,Launched,2016.5,14,107,4,1.1,6,105
Mobile,Launched,2016.5,14,107,2,1.1,6,105
Mobile,Launched,2016,14,107,4,1.6,6,90
Mobile,Launched,2015,14,107,4,1.6,6,90
Mobile,Launched,2016,14,107,2,1.6,6,90
Mobile,Launched,2015,14,107,2,1.6,6,90
Mobile,Launched,2016,14,107,2,1.04,4,90
Mobile,Launched,2015,14,107,2,1.04,4,90
Mobile,Launched,2015.25,14,107,2,1.7,15,105
Mobile,Launched,2015,14,107,2,1.7,15,105
Mobile,Launched,2015.25,14,107,2,1.9,15,105
Mobile,Launched,2015.75,14,107,2,1.6,15,100
Mobile,Launched,2015.75,14,107,2,2,15,100
Mobile,Launched,2017,14,107,2,1.8,15,100
Mobile,Launched,2017.25,14,,2,1.5,6,100
Mobile,Launched,2017,14,107,2,2.2,15,100
Mobile,Launched,2016.5,14,281,2,1.2,4.5,100
Mobile,Launched,2016.5,14,281,2,2.5,15,100
Mobile,Launched,2017,14,304,2,2.2,15,100
Mobile,Launched,2017,14,,2,3.1,28,100
Mobile,Launched,2017,14,,2,3.3,28,100
Mobile,Launched,2017,14,250,4,2.5,45,100
Mobile,Launched,2017,14,281,2,2.6,15,100
Mobile,Launched,2017,14,304,2,2.3,15,100
Desktop,Launched,2017,14,182,4,3,65,100
Desktop,Launched,2017,14,187,4,2.4,35,80
Embedded,Launched,2017,14,250,4,2.9,45,100
Mobile,Launched,2017,14,,4,2.8,45,100
Embedded,Launched,2017,14,250,4,2.1,25,100
Desktop,Launched,2017,14,202,4,2.7,35,80
Desktop,Launched,2017,14,202,4,3.4,65,100
Desktop,Launched,2017,14,224,4,3.5,65,100
Desktop,Launched,2017,14,224,4,2.8,35,80
Desktop,Launched,2017,14,243,4,3.8,91,100
Mobile,Launched,2012.25,22,1096,4,2.9,55,105
Desktop,End of Life,2011.75,32,594,6,3.2,130,66.8
