Vertical Segment,Status,Launch Date,Lithography,Recommended Customer Price,total Cores,total Threads,Processor Base Frequency,TDP,Max Memory Bandwidth,T
Desktop,End of Life,Q3'11,32 nm,N/A,2,2,2.70 GHz,65 W,17 GB/s,69.1°C
Mobile,End of Interactive Support,,,N/A,1,NA,400 MHz,13.1 W,,
Mobile,End of Interactive Support,Q2'03,130 nm,N/A,1,NA,1.10 GHz,12 W,,100°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,600 MHz,15.8 W,,82°C
Desktop,End of Interactive Support,,250 nm,N/A,1,NA,550 MHz,30.8 W,,80°C
Desktop,End of Interactive Support,Q1'06,65 nm,$224.00 ,2,NA,3.40 GHz,130 W,,"C1+D0=63.4°C, B1=68.6°C"
Desktop,End of Interactive Support,Q2'04,90 nm,N/A,1,NA,3.00 GHz,89 W,,73.5°C
Desktop,End of Interactive Support,Q1'06,65 nm,N/A,1,NA,3.60 GHz,86 W,,"B1+C1=69°C, D0=64.4°C "
Desktop,End of Interactive Support,Q2'06,90 nm,N/A,1,NA,3.06 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,3.06 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,2.80 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,1.80 GHz,66.7 W,,78°C
Mobile,End of Interactive Support,,180 nm,N/A,1,NA,800 MHz,25.9 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,2.00 GHz,32 W,,100°C
Mobile,End of Life,Q2'11,32 nm,N/A,2,2,2.10 GHz,35 W,21.3 GB/s,85C
Desktop,End of Life,Q2'12,32 nm,$82.00 ,2,2,3.10 GHz,65 W,21 GB/s,69.1°C
Desktop,End of Life,Q2'12,32 nm,$64.00 ,2,2,2.80 GHz,65 W,17 GB/s,69.1°C
Mobile,End of Interactive Support,,,N/A,1,NA,366 MHz,13.1 W,,
Desktop,End of Interactive Support,,,N/A,1,NA,300 MHz,,,
Desktop,End of Interactive Support,Q2'10,45 nm,N/A,2,NA,3.20 GHz,65 W,,74.1°C
Desktop,End of Interactive Support,Q4'10,45 nm,$72.00 ,2,NA,3.20 GHz,65 W,,74.1°C
Mobile,End of Interactive Support,,65 nm,N/A,2,NA,1.86 GHz,35 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.30 GHz,22 W,,100°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,550 MHz,14.5 W,,82°C
Desktop,End of Interactive Support,Q3'06,65 nm,$163.00 ,2,NA,3.40 GHz,95 W,,63.4°C
Desktop,End of Interactive Support,,250 nm,N/A,1,NA,533 MHz,29.7 W,,90°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,3.00 GHz,81.9 W,,
Desktop,End of Interactive Support,Q3'05,90 nm,N/A,1,NA,2.80 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,Q4'05,90 nm,N/A,1,NA,2.93 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,2.66 GHz,66.1 W,,74°C
Desktop,End of Interactive Support,Q1'05,90 nm,N/A,1,NA,3.60 GHz,115 W,,70.8°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,1.70 GHz,,,
Mobile,End of Interactive Support,,180 nm,N/A,1,NA,750 MHz,24.6 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,650 MHz,7 W,,100°C
Mobile,End of Interactive Support,Q1'02,130 nm,N/A,1,NA,2.20 GHz,35 W,,100°C
Desktop,End of Life,Q2'12,32 nm,$64.00 - $72.00,2,2,2.40 GHz,35 W,17 GB/s,65.0°C
Desktop,End of Interactive Support,,,N/A,1,NA,266 MHz,,,
Mobile,End of Interactive Support,,,N/A,1,NA,333 MHz,11.8 W,,
Desktop,End of Interactive Support,Q3'10,45 nm,$64.00 ,2,NA,3.00 GHz,65 W,,74.1°C
Mobile,End of Interactive Support,Q4'09,45 nm,N/A,2,NA,2.20 GHz,35 W,,105°C
Mobile,End of Interactive Support,Q1'08,65 nm,N/A,2,NA,1.73 GHz,35 W,,100°C
Desktop,End of Interactive Support,Q1'08,65 nm,N/A,2,NA,2.40 GHz,65 W,,73.3°C
Mobile,End of Interactive Support,Q2'04,90 nm,N/A,1,NA,1.60 GHz,7.5 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.40 GHz,22 W,,100°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,533 MHz,14 W,,82°C
Desktop,End of Interactive Support,,250 nm,N/A,1,NA,500 MHz,28 W,,90°C
Desktop,End of Interactive Support,Q1'06,65 nm,$183.00 ,2,NA,3.20 GHz,130 W,,"B1=68.6°C, C1=63.4°C"
Desktop,End of Interactive Support,Q1'04,90 nm,N/A,1,NA,3.00 GHz,89 W,,69.4°C
Desktop,End of Interactive Support,Q2'06,65 nm,$81.00 ,1,NA,3.40 GHz,86 W,,69.2°C
Desktop,End of Interactive Support,Q4'04,90 nm,N/A,1,NA,2.80 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,Q3'05,90 nm,N/A,1,NA,2.93 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,2.66 GHz,89 W,,73.1°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,1.70 GHz,64 W,,76°C
Mobile,End of Interactive Support,,180 nm,N/A,1,NA,700 MHz,23 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.33 GHz,,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,3.20 GHz,76 W,,72°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,2.30 GHz,35 W,,100°C
Mobile,Launched,Q4'11,32 nm,N/A,2,2,2.20 GHz,35 W,21.3 GB/s,85C
Mobile,End of Interactive Support,,,N/A,1,NA,300 MHz,11.1 W,,
Mobile,Launched,Q2'11,32 nm,N/A,2,2,1.20 GHz,17 W,21.3 GB/s,100
Desktop,End of Interactive Support,,,N/A,1,NA,233 MHz,17 W,,85°C
Mobile,End of Interactive Support,Q1'10,45 nm,N/A,2,NA,2.30 GHz,35 W,,
Desktop,End of Interactive Support,Q1'10,45 nm,$75.00 ,2,NA,3.06 GHz,65 W,,74.1°C
Desktop,End of Interactive Support,Q2'10,45 nm,$72.00 ,2,NA,2.80 GHz,65 W,,74.1°C
Mobile,End of Interactive Support,Q4'07,65 nm,N/A,2,NA,1.60 GHz,35 W,,100°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,2.80 GHz,89 W,,69.1°C
Desktop,End of Interactive Support,Q1'07,65 nm,$84.00 ,2,NA,3.20 GHz,95 W,,63.4°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,500 MHz,13.2 W,,85°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,1.40 GHz,31.2 W,,69°C
Desktop,End of Interactive Support,Q1'04,90 nm,N/A,1,NA,2.80 GHz,89 W,,69.4°C
Desktop,End of Interactive Support,Q1'05,90 nm,N/A,1,NA,3.40 GHz,84 W,,66.6°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,2.80 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,2.53 GHz,61.5 W,,72°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,1.60 GHz,38 W,,66°C
Mobile,End of Interactive Support,,180 nm,N/A,1,NA,650 MHz,21.5 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.26 GHz,22 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,3.06 GHz,70 W,,74°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,3.46 GHz,88 W,,75°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,2.40 GHz,35 W,,100°C
Desktop,End of Life,Q3'12,32 nm,$64.00 ,2,2,2.90 GHz,65 W,17 GB/s,69.1°C
Mobile,Launched,Q1'12,32 nm,N/A,2,2,2.30 GHz,35 W,21.3 GB/s,85C
Mobile,Launched,Q4'11,32 nm,N/A,2,2,1.30 GHz,17 W,21.3 GB/s,100 C
Mobile,End of Interactive Support,Q1'11,32 nm,N/A,2,2,2.27 GHz,35 W,17.1 GB/s,90°C
Mobile,End of Interactive Support,,,N/A,1,NA,300 MHz,11.6 W,,
Desktop,End of Interactive Support,,,N/A,1,NA,200 MHz,15.7 W,,72°C
Desktop,End of Interactive Support,,,N/A,1,NA,200 MHz,37.9 W,,85°C
Desktop,End of Interactive Support,,,N/A,1,NA,333 MHz,20.6 W,,65°C
Desktop,End of Interactive Support,Q1'11,32 nm,N/A,2,2,2.93 GHz,73 W,17 GB/s,72.6°C
Desktop,End of Interactive Support,Q3'09,45 nm,N/A,2,NA,2.93 GHz,65 W,,74.1°C
Desktop,End of Interactive Support,Q4'07,65 nm,N/A,2,NA,2.20 GHz,65 W,,73.3°C
Mobile,End of Interactive Support,Q4'07,65 nm,N/A,2,NA,1.46 GHz,35 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.50 GHz,24.5 W,,100°C
Desktop,End of Interactive Support,,250 nm,N/A,1,NA,450 MHz,25.3 W,,90°C
Desktop,End of Interactive Support,,90 nm,N/A,1,NA,2.80 GHz,89 W,,69.1°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,1.33 GHz,29.9 W,,69°C
Desktop,End of Interactive Support,Q1'06,65 nm,$178.00 ,2,NA,3.00 GHz,95 W,,63.4°C
Desktop,End of Interactive Support,Q2'05,90 nm,$423.00 ,2,NA,3.20 GHz,130 W,,69.8°C
Desktop,End of Interactive Support,,130 nm,N/A,1,NA,2.80 GHz,69.7 W,,75°C
Desktop,End of Interactive Support,Q1'06,65 nm,N/A,1,NA,3.20 GHz,86 W,,"B1,C1=69.2°C;     D0-64.4°C"
Desktop,End of Interactive Support,Q4'05,90 nm,N/A,1,NA,2.80 GHz,84 W,,67.7°C
Desktop,End of Interactive Support,,180 nm,N/A,1,NA,1.60 GHz,61 W,,75°C
Mobile,End of Interactive Support,,180 nm,N/A,1,NA,600 MHz,34.5 W,,75°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,1.20 GHz,22 W,,100°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,2.80 GHz,68.4 W,,75°C
Mobile,End of Interactive Support,,90 nm,N/A,1,NA,3.33 GHz,88 W,,75°C
Mobile,End of Interactive Support,,130 nm,N/A,1,NA,2.50 GHz,35 W,,100°C
Mobile,Launched,Q2'12,32 nm,N/A,2,2,2.40 GHz,35 W,21.3 GB/s,85C
Desktop,End of Life,Q3'12,32 nm,$64.00 ,2,2,2.50 GHz,35 W,17 GB/s,65.0°C
Mobile,Launched,Q1'12,32 nm,N/A,2,2,1.40 GHz,17 W,21.3 GB/s,100C
